id,nome,cpf,uf,idade,cnh_categoria,score_confianca,validado
1,ULISSES SANTOS,000.025.759-35,RS,32,B,0.835,true
2,VERA MARTINS,000.913.558-11,GO,45,A,0.418,false
3,GABRIELA SOUZA,000.517.616-03,CE,30,E,0.783,true
4,RAFAEL COSTA,000.225.459-75,PR,69,A,0.848,true
5,FABIO MARTINS,000.432.348-35,MG,31,AB,0.46,false
6,MARIA SANTOS,000.367.867-44,GO,34,A,0.831,true
7,RAFAEL SANTOS,000.996.944-48,RJ,53,AB,0.889,true
8,TIAGO RIBEIRO,000.882.370-73,RS,63,A,0.427,false
9,HUGO ROCHA,000.296.081-29,AM,24,C,0.564,false
10,ULISSES BARBOSA,000.373.166-47,BA,31,E,0.558,false
11,VERA GOMES,000.073.623-81,MG,52,E,0.544,false
12,OTAVIO COSTA,000.276.947-81,ES,53,B,0.804,true
13,YASMIN ROCHA,000.057.234-04,PA,38,C,0.558,false
14,GABRIELA RIBEIRO,000.965.580-91,BA,31,E,0.695,false
15,ULISSES ALMEIDA,000.146.271-17,RS,65,D,0.718,true
16,XENIA RODRIGUES,000.438.919-74,SC,41,B,0.988,true
17,ELENA FERREIRA,000.505.093-96,SP,73,A,0.49,false
18,FABIO ROCHA,000.696.432-76,RJ,42,C,0.752,true
19,OTAVIO FERREIRA,000.257.994-70,AM,18,E,0.825,true
20,VERA RIBEIRO,000.549.768-34,PA,59,AB,0.466,false
21,NINA OLIVEIRA,000.464.003-92,MT,64,AB,0.973,true
22,YASMIN OLIVEIRA,000.519.934-13,AM,58,AB,0.897,true
23,QUEILA RODRIGUES,000.203.156-47,PA,28,D,0.963,true
24,QUEILA RIBEIRO,000.000.613-41,PE,19,A,0.948,true
25,ZECA PEREIRA,000.245.059-30,MT,54,A,0.451,false
26,PAULA BARBOSA,000.070.778-68,PA,26,B,0.789,true
27,RAFAEL OLIVEIRA,000.271.540-77,SC,31,D,0.846,true
28,WAGNER SOUZA,000.730.319-51,DF,59,AB,0.658,false
29,QUEILA ALMEIDA,000.123.253-28,RJ,39,A,0.747,true
30,HUGO RODRIGUES,000.225.007-09,ES,58,A,0.535,false
31,BRUNO BARBOSA,000.338.072-65,RS,35,E,0.686,false
32,RAFAEL OLIVEIRA,000.740.957-73,GO,48,B,0.863,true
33,ZECA COSTA,000.194.096-12,DF,45,AB,0.65,false
34,OTAVIO BARBOSA,000.746.055-86,DF,59,A,0.436,false
35,XENIA LIMA,000.819.882-13,RS,30,B,0.716,true
36,ELENA COSTA,000.187.285-59,RS,73,A,0.661,false
37,RAFAEL SANTOS,000.051.667-69,AM,18,A,0.947,true
38,HUGO OLIVEIRA,000.416.497-61,RS,73,C,0.932,true
39,FABIO COSTA,000.002.399-33,MT,68,C,0.568,false
40,WAGNER MARTINS,000.802.569-84,ES,49,B,0.512,false
41,GABRIELA SILVA,000.593.753-69,SP,65,AB,0.434,false
42,SARA ALMEIDA,000.514.941-67,MG,21,D,0.447,false
43,FABIO SANTOS,000.609.069-86,AM,33,C,0.471,false
44,SARA SOUZA,000.592.608-05,GO,23,C,0.788,true
45,SARA FERREIRA,000.323.957-33,RS,60,E,0.585,false
46,IARA COSTA,000.134.687-82,PR,47,AB,0.948,true
47,CARLA SILVA,000.469.636-72,RJ,22,D,0.526,false
48,IARA OLIVEIRA,000.955.357-08,MT,33,AB,0.568,false
49,OTAVIO BARBOSA,000.556.720-38,GO,69,E,0.712,true
50,VERA BARBOSA,000.567.306-84,RJ,74,B,0.556,false
51,DIEGO MARTINS,000.566.159-34,PR,56,B,0.823,true
52,GABRIELA GOMES,000.649.873-33,CE,49,AB,0.934,true
53,BRUNO SANTOS,000.649.433-35,SP,18,AB,0.855,true
54,ULISSES PEREIRA,000.165.759-56,CE,63,C,0.731,true
55,DIEGO SANTOS,000.967.904-88,MT,27,D,0.421,false
56,LUCAS RODRIGUES,000.565.151-55,MG,20,AB,0.615,false
57,ZECA BARBOSA,000.040.920-45,RS,61,B,0.793,true
58,LUCAS ROCHA,000.573.905-52,GO,65,B,0.946,true
59,HUGO BARBOSA,000.166.999-22,MT,44,A,0.506,false
60,KARLA ROCHA,000.953.421-85,AM,65,B,0.557,false
